source_sentence,target_sentence
"Nerium oleander (/ˈnɪəriəm ... / NEER-ee-əm),[1] most commonly known as oleander or nerium, is a shrub or small tree cultivated worldwide in temperate and subtropical areas as an ornamental and landscaping plant. It is the only species currently classified in the genus Nerium, belonging to subfamily Apocynoideae of the dogbane family Apocynaceae. It is so widely cultivated that no precise region of origin has been identified, though it is usually associated with the Mediterranean Basin. ","करवीरः अधिकतया शतकुन्दः इति नाम्ना प्रसिद्धः, एकः गुल्मः अथवा लघुवृक्षः अस्ति यः विश्वव्यापीरूपेण समशीतोष्ण-उपोष्णकटिबंधीयक्षेत्रेषु अलङ्कारिक-भूदृश्य-वनस्पतिरूपेण संवर्धितः भवति। सम्प्रति नेरियम - जाति - मध्ये वर्गीकृता एषा एकमात्रा प्रजातिः अस्ति, या एपोसिनेसी - कुटुम्बस्य एपोसिनोइडी - उपपरिवारे अन्तर्भवति | एतस्य कृषिः एतावत् व्यापकं भवति यत् अस्य उत्पत्तिप्रदेशः सटीकः न चिह्नितः, यद्यपि प्रायः भूमध्यसागरीयबेसिन् इत्यनेन सह सम्बद्धः अस्ति । "
"It is most commonly grown in its natural shrub form, but can be trained into a small tree with a single trunk. It is tolerant to both drought and inundation, but not to prolonged frost. White, pink or red five-lobed flowers grow in clusters year-round, peaking during the summer. ","करवीरः 2 - 6 मानः (7 - 20 पादः) ऊर्ध्वं वर्धते । प्रायः प्राकृतिकगुल्मरूपेण वर्धते, परन्तु एककन्दयुक्तं लघुवृक्षं प्रशिक्षितुं शक्यते । अनावृष्टि-जलप्लावनयोः सहिष्णुः, परन्तु दीर्घकालं यावत् हिमस्य सह न । श्वेत, गुलाबी, रक्तं वा पञ्चपल्लवपुष्पाणि वर्षपर्यन्तं समूहेषु वर्धन्ते, ग्रीष्मकाले शिखरं प्राप्नुवन्ति । फलं दीर्घं संकीर्णं कूपयुगलं भवति, यत् परिपक्वतायां विभज्य असंख्यानि डौनीबीजानि मुक्तं भवति । "
"Nerium contains several toxic compounds, and it has historically been considered a poisonous plant. However, its bitterness renders it unpalatable to humans and most animals, so poisoning cases are rare and the general risk for human mortality is low. Ingestion of larger amounts may cause nausea, vomiting, excess salivation, abdominal pain, bloody diarrhea and irregular heart rhythm. ","करवीरः इत्यत्र अनेके विषाक्ताः यौगिकाः सन्ति, ऐतिहासिकदृष्ट्या च विषयुक्तः पादपः इति मन्यते । परन्तु अस्य कटुता मनुष्याणां अधिकांशपशूनां च कृते अरुचिकरं करोति अतः विषप्रकरणाः दुर्लभाः सन्ति तथा च मानवमृत्युः सामान्यः जोखिमः न्यूनः भवति अधिकमात्रायां सेवनेन उदरेण, वमनं, अतिरिक्तं लारं, उदरवेदना, रक्तातिसारः, हृदयस्य अनियमितता च भवति रसस्य दीर्घकालं यावत् सम्पर्कः भवति चेत् त्वचायाः जलनम्, नेत्रशोथः, त्वचाशोथः च भवितुम् अर्हति । "
"Part of a parabola (blue), with various features (other colours). The complete parabola has no endpoints. In this orientation, it extends infinitely to the left, right, and upward. ","परवलयस्य (नीलवर्णस्य) भागः, विविधविशेषताभिः (अन्यवर्णैः) । सम्पूर्णस्य परवलयस्य अन्त्यबिन्दवः नास्ति । अस्मिन् अभिमुखीकरणे वाम-दक्षिण-ऊर्ध्वं च अनन्ततया प्रसरति । "
The parabola is a member of the family of conic sections. ,परवलयः शङ्कुखण्डकुटुम्बस्य सदस्यः अस्ति | 
"In mathematics, a parabola is a plane curve which is mirror-symmetrical and is approximately U-shaped. It fits several superficially different mathematical descriptions, which can all be proved to define exactly the same curves. ","गणिते, परवलयः एकः समतलवक्रः अस्ति यः दर्पण-सममितः भवति तथा च प्रायः U-आकारः भवति । एतत् अनेकानाम् उपरिष्टात् भिन्नानां गणितीयवर्णनानां अनुरूपं भवति, ये सर्वे सम्यक् समानानि वक्राणि परिभाषयन्ति इति सिद्धं कर्तुं शक्यते । "
"The focus does not lie on the directrix. The parabola is the locus of points in that plane that are equidistant from both the directrix and the focus. Another description of a parabola is as a conic section, created from the intersection of a right circular conical surface and a plane parallel to another plane that is tangential to the conical surface.[lower-alpha 1] ","परवलयस्य एकस्मिन् वर्णने बिन्दुः (the focus ) रेखा ( directrix ) च अन्तर्भवति । ध्यानं निर्देशिकायां न निहितं भवति। परवलयः तस्मिन् विमाने ये बिन्दुस्थानानि सन्ति ये निर्देशिका-केन्द्रयोः समदूरे भवन्ति । परवलयस्य अन्यत् वर्णनं शङ्कुखण्डः इति भवति, यः दक्षिणवृत्तशङ्कुपृष्ठस्य शङ्कुपृष्ठस्य स्पर्शरेखायुक्तस्य अन्यस्य विमानस्य समानान्तरविमानस्य च प्रतिच्छेदनात् निर्मितः भवति [lower-alpha 1] "
"The line perpendicular to the directrix and passing through the focus (that is, the line that splits the parabola through the middle) is called the ""axis of symmetry"". The point where the parabola intersects its axis of symmetry is called the ""vertex"" and is the point where the parabola is most sharply curved. The distance between the vertex and the focus, measured along the axis of symmetry, is the ""focal length"". ","निर्देशकस्य लम्बवत्, केन्द्रस्य (अर्थात् मध्येन परवलयं विभज्य रेखा) गच्छन्ती रेखा ""समरूपतायाः अक्षः"" इति उच्यते यत्र परवलयः स्वस्य समरूपतायाः अक्षं च्छेदयति सः "" शिखरः "" इति उच्यते, परवलयः यत्र अत्यन्तं तीक्ष्णतया वक्रः भवति । समरूपतायाः अक्षेण मापितं शिखरस्य केन्द्रस्य च मध्ये यत् दूरं भवति तत् ""केन्द्रदीर्घता"" भवति । "" latus rectum "" इति परवलयस्य तारः यः निर्देशकस्य समानान्तरः भवति, फोकसद्वारा गच्छति च । परवलयः उपरि, अधः, वामम्, दक्षिणतः, अन्यस्मिन् वा मनमाना दिशि उद्घाटयितुं शक्नुवन्ति । अन्येषु परवलयेषु सम्यक् उपयुक्तं भवितुं कोऽपि परवलयः पुनः स्थापयित्वा पुनः स्केल कर्तुं शक्यते-अर्थात् सर्वे परवलयः ज्यामितीयरूपेण समानाः सन्ति "
"Parabolas have the property that, if they are made of material that reflects light, then light that travels parallel to the axis of symmetry of a parabola and strikes its concave side is reflected to its focus, regardless of where on the parabola the reflection occurs. Conversely, light that originates from a point source at the focus is reflected into a parallel (""collimated"") beam, leaving the parabola parallel to the axis of symmetry. The same effects occur with sound and other waves. ","परवलयस्य गुणः अस्ति यत्, यदि ते प्रकाशं प्रतिबिम्बयति इति पदार्थेन निर्मिताः सन्ति, तर्हि परवलयस्य समरूपतायाः अक्षस्य समानान्तरेण गत्वा तस्य अवतलपक्षं प्रहरति प्रकाशः तस्य केन्द्रे प्रतिबिम्बितः भवति, परवलयस्य उपरि कुत्रापि प्रतिबिम्बं भवति इति न कृत्वा तद्विपरीतम्, केन्द्रस्थाने बिन्दुस्रोतः उत्पद्यते प्रकाशः समानान्तरे ("" collimated "") किरणे प्रतिबिम्बितः भवति, परवलयं समरूपतायाः अक्षस्य समानान्तरं त्यजति शब्दादितरङ्गैः सह अपि एतादृशाः प्रभावाः भवन्ति | एषः प्रतिबिम्बात्मकः गुणः परवलयस्य अनेकव्यावहारिकप्रयोगानाम् आधारः अस्ति । "
"The parabola has many important applications, from a parabolic antenna or parabolic microphone to automobile headlight reflectors and the design of ballistic missiles. It is frequently used in physics, engineering, and many other areas. ","परवलयस्य अनेकाः महत्त्वपूर्णाः अनुप्रयोगाः सन्ति, परवलयिक-ग्राहकः अथवा परवलय- ध्वनिग्रहः -तः आरभ्य वाहन- अग्रदीपः -प्रतिबिम्बकान् यावत् तथा च अस्त्रक्षेपण शस्त्रस्य परिकल्पितम् यावत् भौतिकशास्त्रे, अभियांत्रिकीशास्त्रे, अन्येषु च अनेकेषु क्षेत्रेषु अस्य उपयोगः बहुधा भवति । "
Early political career ,प्रारम्भिकं राजनैतिकजीवनम् 
"Kumar belongs to a socialist class of politicians. During his early years as a politician he was associated with Ram Manohar Lohia, S. N. Sinha, Karpuri Thakur, and V. P. Singh.[10][13] Kumar participated in Jayaprakash Narayan's movement between 1974 and 1977[14] and joined the Janata party headed by Satyendra Narain Sinha.[15] ",नीतीशो राजनेतृषु समाजवादिवर्गस्य अस्ति । राजनेतृरूपेण प्रारम्भिकेषु वर्षेषु स लोहियोपाख्येन राममनोहरेण च सिंहोपाख्येन सत्येन्द्रनारायणेन च कर्पूरिठाकुरेण च विश्वनाथप्रतापसिंहेन च सह सम्बद्धः आसीत् | [1] [2] नीतीशः १९७४ तमे वर्षे च १९७७ तमे वर्षे च जयप्रकाशनारायणस्य आन्दोलने भागं गृहीतवान् आसीत्।[3] ततः तेन सिंहोपाख्यस्य सत्येन्द्रनारायणस्य नेतृत्वे जनतापक्षे सम्मिलितः। [4] 
"Kumar fought and first time won his election to the state assembly from Harnaut in 1985. In the initial years, Lalu Prasad Yadav was backed by Kumar as leader of the opposition in Bihar Assembly in the year 1989 but Kumar later switched his loyalty to BJP in 1996, after winning his first Lok Sabha seat from Barh.[1] ",नीतीशो युद्ध्वा १९८५ तमे वर्षे हरनौतनगरात् प्रथमवारं राज्यसभाया निर्वाचनं जितवान्। प्रारम्भिकवर्षेषु लालूप्रसादयादवः १९८९ तमे वर्षे बिहारविधानसभायां विपक्षस्य नेतृरूपेण नीतीशेन समर्थितः परन्तु पश्चात् नीतीशः १९९६ तमे वर्षे भाजपादलं प्रति निष्ठां पर्यवर्तयत् बाढात् प्रथमं लोकसभायाः सदस्यत्वं विजित्य।[1] 
"Sharad Yadav was also a veteran socialist leader but without any massive support base. In the 1998 Parliamentary elections, the Samata Party and Janata Dal, which was in a much weaker position after the formation of RJD ended up eating each other's vote base. This made Kumar merge both the parties to form Janata Dal (United).[18] ",१९९८ तमे वर्षे संसदीयनिर्वाचने राष्ट्रियजनतादलस्य निर्माणानन्तरं समतापक्षः जनतादलः च परस्परस्य मतमूलं भक्षितवन्तौ। अतो नीतीशेन द्वे दले विलीय जनतादलस्य संयुक्तस्य निर्माणं कृतवान् । [1] 
"In 1999 Lok Sabha elections Rashtriya Janata Dal received a setback at the hand of BJP+JD(U) combine. The new coalition emerged leading in 199 out of 324 assembly constituencies and it was widely believed that in the forthcoming election to Bihar state assembly, the Lalu-Rabri rule will come to an end. The RJD had fought the election in an alliance with the Congress but the coalition didn't work making state leadership of Congress believe that the maligned image of Lalu Prasad after his name was drawn in the Fodder Scam had eroded his support base. ",१९९९ तमे वर्षे लोकसभानिर्वाचने भाजपापक्षस्य च‌ जनतादलसंयुक्तस्य च युगलाभ्यां राष्ट्रीयजनतादलस्य पराजयः अभवत् । नूतनं ग्रन्थिबन्धनं ३२४ विधानसभाक्षेत्रेषु १९९ क्षेत्रेषु अग्रगण्यम् अभवत्। 
"Moreover, the divisions in both the camps made the political atmosphere in the state a charged one in which many parties were fighting against each other with no visible frontiers. JD(U) and BJP were fighting against each other on some of the seats and so was the Samta Party. The result was a setback for the BJP, which in media campaigns was emerging with a massive victory. ",लालूयादवस्य विधकपटे नाम आगत्य अपि २००० तमस्य वर्षस्य बिहारराज्यनिर्वाचने राष्ट्रियजनतादलं भाजपाजदयूदलयोः परस्परस्य द्वन्द्वकारणेन बृहत्तमदलम् उद्भूतम्। लालूयादवस्य राजनैतिकपरिचालनेन राबडीदेवी पुनः मुख्यमन्त्रिणीरूपेण शपथं गृहीतवती। [1] 
"In 2004 General elections, Lalu's RJD had outperformed other state-based parties by winning 26 Lok Sabha seats in Bihar. He was awarded the post of Union Railway minister but the rising aspirations of the extremely backward castes unleashed by him resulted in JD(U) and BJP led coalition to defeat his party in 2005 Bihar Assembly elections.[22] ",२००४ तमस्य वर्षेस्य लोकसभानिर्वाचनेराष्ट्रीयजनतादलं बिहारे २६ लोकसभाक्षेत्राणि विजित्य अन्येभ्यो राज्याधारितदलेभ्यः श्रेष्ठतरं प्रदर्शनं कृतवान् आसीत् । स केन्द्रीयरेलमन्त्रिपदेन पुरस्कृतः परन्तु तस्य अत्यन्तनिम्नजातीनां वर्धमानानाम् आकाङ्क्षाणां परिणामतः भाजपापक्षस्य जनतादलसंयुक्तस्य च ग्रन्थिबन्धनेन २००५ तमे वर्षे बिहारविधानसभानिर्वाचने तस्य दलं पराजितम् |. [1] 
Union Minister ,केन्द्रीयमन्त्री 
Union Minister for Railways Shri Nitish Kumar entering Parliament to present Interim Railway Budget (2004-05) in New Delhi on 30 January 2004 ,30 जनवरी 200केन्द्रीयरेलमन्त्री श्रीनीतीशकुमारः २००४ तमस्य वर्षस्य जनवरीमासस्य ३० तमे दिनाङ्के नवदेहलीनगरे मध्यकालीनरेलार्थसङ्कल्पं प्रस्तोतुं संसदं प्रविशति 
"Nitish was briefly, the Union Minister for Railways and Minister for Surface Transport and later, the Minister for Agriculture in 1998–99, in the NDA government of Atal Bihari Vajpayee. In August 1999, he resigned following the Gaisal train disaster, for which he took responsibility as a minister.[23] However, in his short stint as Railway Minister, he brought in widespread reforms, such as internet ticket booking facility in 2002,[24][25] opening a record number of railway ticket booking counters and introducing the tatkal scheme for instant booking.[citation needed] ",नीतीशः अचिराय १९९८–९९ तमे वर्षे अटलसर्वकारेकेन्द्रीयरेलमन्त्री च भूपृष्ठपरिवहनमन्त्री चापि कृषिमन्त्री आसीत्। १९९९ तमे वर्षे अगस्तमासे गैसलरेलापदाया अनन्तरं स त्यागपत्रं समर्पितवान् यस्या आपदाया उत्तरदायित्वं स मन्त्रिरूपेण स्वीकृतवान् । [1] परन्तु रेलमन्त्रीरूपेण तस्य अल्पकार्यकाले स व्यापकविशोधनम् आनयत्। यथा २००२ तमे वर्षे अन्तर्जालेन यात्रापत्रक्रयणस्य सेवा[2] [3] च सर्वाधिकं रेलयात्रापत्रविक्रयणस्थलारम्भः च तत्कालयोजनाया आरम्भः चेति। 
"Later that year, he rejoined the Union Cabinet as Minister for Agriculture. From 2001 to May 2004, he was – again – the Union Minister for Railways.[citation needed] In the 2004 Lok Sabha elections, he contested elections from two places, when he was elected from Nalanda but lost from his traditional constituency, Barh.[26] ",तदनन्तरं स पुनः केन्द्रीयमन्त्रिमण्डले कृषिमन्त्रीरूपेण सम्मिलितः। २००१ तः २००४ तमस्य वर्षस्य मेमासपर्यन्तं स पुनः केन्द्रीयरेलमन्त्री आसीत् । २००४ तमे वर्षे लोकसभानिर्वाचने स द्वाभ्यां क्षेत्राभ्यां युद्धवान् तदा स नालन्दातः निर्वाचितः परन्तु स्वस्य पारम्परिके बाढक्षेत्रे पराजितः [1] 
Chief Minister of Bihar ,बिहारस्य मुख्यमन्त्री 
"Kumar is a member of the Janata Dal (United) political party. As the chief minister, he appointed more than 100,000 school teachers, ensured that doctors worked in primary health centres, electrified many villages,[27] paved roads, cut female illiteracy by half, turned around a lawless state by cracking down on criminals and doubled the income of the average Bihari.[28] ",नीतीशो जनतादलस्य संयुक्तस्य राजनैतिकदलस्य सदस्यः अस्ति । मुख्यमन्त्रिरूपेण स एकलक्षाधिकान् विद्यालयशिक्षकान् नियुक्तवान् तथा प्राथमिकस्वास्थ्यकेन्द्रेषु चिकित्सकाः कार्यं कुर्वन्ति इति सुनिश्चितवान् च अनेकेषु ग्रामेषु विद्युत्प्रवाहं आरब्धवान् च [1] मार्गाणि निर्मितवान् च महिलानां निरक्षरत्वम् अर्धं कृतवान् अपराधिणो दमित्वा अव्यवस्थितराज्यं परिवृत्तवान् तथा च सामान्यबिहारिणः आयं द्विगुणं कृतवान् । [2] 
"Nitish Kumar and Lalu Prasad Yadav discussing with the Prime Minister, Dr. Manmohan Singh about the relief operations on flood-affected areas, in Bihar, 28 August 2008. ",२००८ तमस्य वर्षस्य अगस्तमासस्य २८ तमे दिनाङ्के नीतीशकुमारश्च लालूप्रसादयादवश्च प्रधानमन्त्रिणा मनमोहनसिंहेन सह जलप्रलयप्रभावितक्षेत्राणां शमनकार्यक्रमेषु चर्चां कुर्वन्तौ बिहारे। 
First term (2000–2000) ,प्रथमः कार्यकालः २००० तमे वर्षे 
"In March 2000, Nitish was elected Chief Minister of Bihar for the first time at the behest of the Vajpayee Government in the centre.[29] NDA and allies had 151 MLAs whereas Lalu Prasad Yadav had 159 MLAs in the 324 member house. Both alliances were less than the majority mark that is 163. Nitish resigned before he could prove his numbers in the house.[30][31] He lasted 7 days in the post.[32] ",२००० तमे वर्षे मार्चमासे केन्द्रस्य अटलसर्वकारस्य आज्ञानुसारं प्रथमवारं नीतीशो बिहारस्य मुख्यमन्त्री निर्वाचितः । [1] ३२४ सदस्यसदनस्य सहायकदलानि समेत्य राष्ट्रियजनतान्त्रिकग्रन्थिबन्धने १५१ विधायका आसन् तथा च लालूयादवस्य १५९ विधायका आसन् । उभे ग्रन्थिबन्धने बहुमतस्य चिह्नात् अधः आस्ताम् यत् १६३ अस्ति। नीतीशः सभायां स्वबहुसङ्ख्यत्वं सेद्धुं न शक्नोति स्म अतः पूर्वम् एव त्यागपत्रं दत्तवान् । [2] [3] स ७ दिवसेभ्यः पदारुढः स्थितः। [4] 
"Nitish Kumar (born 1 March 1951) is an Indian politician, who is serving as Chief Minister of Bihar since 22 February 2015, having previous held the office from 2005 to 2014 and for a short period in 2000. The leader of the Janata Dal (United), previously he has also served as a Union Minister as the Samata Party member.[1] ",नीतीशकुमारः एकः भारतीयराजनेता अस्ति यः २०१५ तमस्य वर्षस्य फरवरीमासस्य २२ दिनाङ्कात् बिहारस्य मुख्यमन्त्रीरूपेण कार्यं कुर्वन् अस्ति। पूर्वं २००५ तः २०१४ पर्यन्तं तथा २००० तमे वर्षे अल्पकालं यावत् च एतत् पदं धृतवान्। जनतादलसंयुक्तस्य नेता एष पूर्वं समतापक्षस्य सदस्यत्वेन केन्द्रीयमन्त्रीरूपेण अपि कार्यं कृतवान् । [1] 
Second term (2005–2010) ,द्वितीयः कार्यकालः २००५ वर्षतः २०१० पर्यन्तम् 
"After victory in 2005 Bihar Assembly elections, Kumar a leader of OBC Kurmi caste was sworn in as the chief minister. ",२००५ तमे वर्षे बिहारविधानसभानिर्वाचने विजयानन्तरंमुख्यमन्त्रिरूपेण नीतीशः शपथं गृहीतवान् । [1] 
Third term (2010–2014) ,तृतीयः कार्यकालः २०१०वर्षतः २०१४ पर्यन्तम् 
Kumar's government also initiated bicycle and meal programs. Giving bicycles to girls who stayed in school resulted in the state getting a huge number of girls into schools and a reduction in school dropout rates.[33] ,नीतीशसर्वकारेण द्विचक्रिकायाः च भोजनस्य च कार्यक्रमा अपि आरब्धाः । यतो विद्यालये स्थितानां बालिकानां शिक्षात्यागं न्यूनीकृतम्।[1] 
"In 2010, Kumar's party swept back to power along with its then allies, the Bharatiya Janata Party, and he again became Chief Minister.[16] The alliance won 206 seats, while the RJD won 22.[34] For the first time, electorates witnessed high turnout of women and young voters, while this was declared as the fairest election in Bihar, with no bloodshed or poll violence.[35] ",२०१० तमे वर्षे नीतीशस्य दलं तत्कालीनसहयोगिणे भारतीयजनतापक्षेण सह पुनः शासनं प्राप्तवान् पुनः स मुख्यमन्त्री अभवत् । [1] राष्ट्रियजनतान्त्रिकग्रन्थिबन्धं २०६ क्षेत्रेषु तथा च राष्ट्रियजनतादलम् २२ क्षेत्रेषु जितवन्तौ। [2] प्रथमवारं मतदातृषु महिलानां युवकानां च अधिकं मतदानं दृष्टम्। तदा तु बिहारे एतत् न्याय्यपूर्णतमं निर्वाचनम् इति घोषितम् ।यत्र रक्तपातो वा निर्वाचनहिंसा वा नासीत् [3] 
"On 17 May 2014, Kumar submitted his resignation to the Governor of Bihar, a day after his party fared poorly in the 2014 Lok Sabha elections, winning just 2 seats against 20 seats in the previous election.[1] Kumar resigned, taking the moral responsibility of his party's poor performance in the election, and Jitan Ram Manjhi took over.[36] ",२०१४ तमस्य वर्षस्य लोकसभानिर्वाचने स्वपक्षस्य दुर्गतेः एकदिवसानन्तरं मेमासस्य १७ तमे दिनाङ्के नीतीशो बिहारस्य राज्यपालाय स्वस्य त्यागपत्रं प्रदत्तवान्‌। पूर्वनिर्वाचने २० क्षेत्राणां विजयानन्तरं तदा केवलं द्वयोः क्षेत्रयोः जयं प्राप्तवान्। [1] निर्वाचने स्वपक्षस्य दुर्बलप्रदर्शनस्य नैतिकदायित्वं स्वीकृत्य नीतीशः त्यागपत्रम् अयच्छत्। जीतनराममाञ्झी च कार्यभारं स्वीकृतवान् । [2] 
Fourth term (2015 - 2020) ,चतुर्थः कार्यकालः २०१५ वर्षतः २०२० पर्यन्तम् 
"Kumar again became Chief Minister on 22 February 2015, on the backdrop of upcoming 2015 Bihar Legislative Assembly election, considered to be his toughest election to date.[37][38] His JD(U), along with RJD and Congress, formed the Mahagathbandhan (Grand Alliance) to counter the BJP in Bihar.[39] ",नीतीशः पुनः २०१५ तमस्य वर्षस्य फरवरीमासस्य २२ तमे दिनाङ्के मुख्यमन्त्री अभवत्। [1] [2] तस्य जनतादलं राष्ट्रियजनतादलेन च काङ्ग्रेससङ्गठनेन सह बिहारे भाजपादलस्य प्रतिकारार्थं महाग्रन्थिबन्धनस्य निर्माणं कृतवान् । [3] 
"Kumar campaigned aggressively during the elections for the Grand Alliance, countering the allegations raised by Narendra Modi and the BJP.[40] The Grand Alliance won the Assembly election by a margin of 178 over the BJP and its allies, with RJD emerging as the largest party with 80 seats and JD(U) placed second with 71.[41][42] Kumar was sworn in as Chief Minister on 20 November 2015 for a record fifth time and Tejashwi Yadav became Deputy Chief Minister of Bihar.[4] ","नीतीशो नरेन्द्रमोदिभाजपादलयोः आरोपानां प्रतिकारं कृत्वा महाग्रन्थिबन्धनाय निर्वाचनकाले आक्रामकरूपेण प्रचारं कृतवान् । [1] भाजपादलस्य च सहयोगिनां च १७८ क्षेत्राणाम् अन्तरेण विधानसभानिर्वाचने महाग्रन्थिबन्धनेन विजयः प्राप्तः। राजदः ८क्षेत्राणिैविजित्य श्रेष्ठतमंमः म्लण उद्भम्।ः,नतादलसंयुक्तःयू ७क्षेत्राणिैः विजित्य च द्वितीयस्थानं प्राप्तवान् । [2] [3] कुबिहारराजनीतौ प्रथमवारं तस्मिन् एव वर्षे २० तमे दिनाङ्के नीतीशो०पञ्चमवारं ख्यमन्त्रीरूपेण शपथग्रहणं कृतवान्, । ते ्वी यादवो बिहारस्य उपमुख्यमन्त्री अभवत्। [4] "
"Kumar first entered politics as a member of the Janata Dal, becoming an MLA in 1985. A socialist, Kumar founded the Samata Party in 1994 along with George Fernandes. In 1996 he was elected to the Lok Sabha, and served as a Union Minister in the government of Atal Bihari Vajpayee, with his party joining the National Democratic Alliance. ",नीतीशः प्रथमवारं जनतादलस्य सदस्यत्वेन राजनीतिं प्रविष्टवान्। एष १९८५ तमे वर्षे विधायकः अभवत्। नीतीशः १९९४ तमे वर्षे जार्ज फर्नाण्डिस् इत्यनेन सह समतापक्षस्य स्थापनां कृतवान् । १९९६ तमे वर्षे लोकसभासदस्यत्वेन निर्वाचितः स अटलबिहारीवाजपेयीवर्यस्य सर्वकारे केन्द्रीयमन्त्रीरूपेण कार्यं कृतवान्। तस्य दलं राष्ट्रियजनतान्त्रिकग्रन्थिबन्धनं समागच्छत्। ततो नीतीशः तस्य मुख्यो नेता अभवत्। 
"Kumar's campaign was managed by the Indian Political Action Committee (I-PAC) who were hired to managed the campaign for JD(U).[43] I-PAC designed the campaign strategy which included reaching out to a larger set of voters through innovative campaigns, including sending hundreds of branded cycles for outreach,[44] Har Ghar Dastak (door-to-door outreach)[45] and the DNA campaign.[46] ",नीतीशस्य अभियानस्य प्रबन्धनं नियुक्तया भारतीयराजनैतिककार्यसमित्या अभवत्।[1] [2] सा एव हर घर-दस्तक् (द्वारे द्वारे प्रचारः) [3] तथा च डी एन् ए अभियानस्य प्रचारं विहितवती। [4] 
Mahagathbandhan breakup ,महाग्रन्थिबन्धनस्य विभञ्जनम् 
"When corruption charges were levelled against Tejashwi Yadav, the Deputy Chief Minister, Kumar asked for him to resign from the cabinet. The Rashtriya Janata Dal refused to do so, and therefore Kumar resigned on 26 July 2017, thus ending the Grand Alliance.[1] He joined the principal opposition, the NDA, and came back to power within a few hours.[47] ",यदा उपमुख्यमन्त्रिणः तेजस्वियादवस्य विरुद्धं भ्रष्टाचारस्य आरोपः कृतः तदा नीतीशो मन्त्रिमण्डलात् त्यागपत्रं दातुं निवेदितवान् । राष्ट्रीयजनतादलं तत् कर्तुं न स्वीकृतवान् अतः नीतीशः २०१७ तमस्य वर्षस्य जुलैमासस्य २६ दिनाङ्के त्यागपत्रं दत्तवान्। अतो महाग्रन्थिबन्धनस्य समाप्तिः अभवत् । [1] स मुख्यविपक्षे राष्ट्रियजनतान्त्रिकग्रन्थिबन्धने सम्मिल्य कतिपयहोरानन्तरं पुनः शासनं प्राप्तवान् । [2] 
Fifth term (2020–2022) ,पञ्चम कार्यकालः २०२० वर्षतः २०२२ पर्यन्तम् 
"Capitalising on his 15 years consecutive terms as Chief Minister, Kumar highlighted various achievements and developments and listed various schemes carried out by his government and finally managed to get over a tightly contested election. NDA managed to get majority in Legislature Assembly by winning 125 seats as compared to Mahagathbandhan's 110 seats.[48] He was sworn in as Bihar Chief Minister for seventh time in 20 years in the presence of top leaders of NDA.[49] ",२०२० तमस्य वर्षस्य राज्यनिर्वाचने महाग्रन्थिबन्धनस्य ११० आसनानां विरुद्धं १२५ आसनानि प्राप्य विधानसभायां बहुमतं प्राप्तुं राष्ट्रियजनतान्त्रिकग्रन्थिबन्धनं सफलम् अभवत् । [1] राष्ट्रियजनतान्त्रिकग्रन्थिबन्धनस्य शीर्षनेतॄणां सान्निध्ये २० वर्षेषु सप्तमवारं स बिहारस्य मुख्यमन्त्रिरूपेण शपथं गृहीतवान् । [2] 
"On 9 August 2022, Kumar resigned as chief minister and removed his party from the NDA, announcing that his party had rejoined the Mahagathbandhan, and would form a governing coalition with the RJD and INC.[50] ",२०२२ तमस्य वर्षस्य अगस्तमासस्य ९ दिनाङ्के नीतीशो मुख्यमन्त्रिपदं त्यक्त्वा स्वस्य दलं पुनः महाग्रन्थिबन्धने सम्मिलितं कृतवान्। [1] 
Sixth Term (2022 - present) ,षष्ठकः कार्यकालः २०२२ तमात् वर्षतः वर्तमानः 
"On 9 August 2022, Kumar broke the alliance with the BJP and resigned as chief minister and revoked his party from the NDA, announcing that his party had rejoined the Mahagathbandhan, comprising RJD, INC, CPI and other independents, and would form a governing coalition. On 10 August he sworn in as the chief minister of the state for the eighth time in 22 years.[51] ",महाग्रन्थिबन्धने पुनः सम्मिल्य अगस्तमासस्य १० तमे दिनाङ्के स २२ वर्षेषु अष्टमवारं राज्यस्य मुख्यमन्त्रिरूपेण शपथं गृहीतवान्। [1] 
Biographies ,चरित्रवर्णनग्रन्थाः 
Nitish Kumar with Kerala Governor Nikhil Kumar and Deputy CM Tejashwi Yadav. ,नीतीशकुमारः केरळस्य राज्यपालेन निखिलकुमारेण च उपमुख्यमन्त्रिणा तेजस्वियादवेन सह दृश्यते। 
